name,address,birth_data,plasticcard
Praba Budiyanto M.TI.,"Gg. Halim No. 410, Bekasi 56221, Lampung",1989-03-03,5591237693751168
Ian Santoso,"Ds. Acordion No. 336, Tangerang Selatan 77267, Aceh",1958-03-22,4716196798829308
Chelsea Wijayanti,"Gg. Yohanes No. 543, Lhokseumawe 88607, Lampung",1971-04-02,4716061550270
Saka Santoso S.Farm,"Ki. Gajah No. 651, Sibolga 98787, NTT",1978-05-29,5266893209390802
Hamima Laksita,"Psr. Cikapayang No. 397, Bengkulu 54617, Riau",2000-07-13,4024007184753
Embuh Hasta Waskita,"Ds. R.E. Martadinata No. 553, Bukittinggi 88559, Lampung",1987-01-09,6011900760442843
Sakura Utami S.Psi,"Jln. Abdul Rahmat No. 762, Tanjungbalai 64914, SulUt",1984-01-01,4024007114164
Kartika Uli Astuti,"Ds. Suryo No. 886, Padangpanjang 39501, SulTeng",1999-04-30,5433598680345112
Hardana Tri Wasita S.Ked,"Kpg. Rumah Sakit No. 329, Banjarbaru 36969, KalTim",1957-11-20,4716836656698143
Yance Nadine Pratiwi,"Jln. Qrisdoren No. 318, Palembang 81034, KalBar",1996-02-29,4532701060251
Danu Kalim Haryanto S.E.,"Jr. Tangkuban Perahu No. 95, Lhokseumawe 37802, Lampung",1979-09-09,342253232984981
Safina Ana Handayani,"Jr. Adisumarmo No. 682, Tanjungbalai 76138, KalBar",1973-02-28,4024007184523438
Zalindra Hamima Rahimah,"Ki. Baik No. 135, Tebing Tinggi 68718, JaTeng",1994-01-05,5502082480776483
Juli Handayani,"Ki. Bakaru No. 127, Palangka Raya 36107, KalTim",1991-01-31,5291916357489222
Danu Siregar M.Farm,"Jr. Agus Salim No. 770, Tangerang Selatan 94456, Jambi",1971-12-01,6011655523663388
Jamal Wasita,"Kpg. Babadak No. 482, Kupang 77518, JaBar",1984-05-03,5148042192162240
Asman Firgantoro,"Psr. Bahagia No. 517, Bima 48072, DIY",1989-02-05,5286319073379693
Ghani Cawisadi Nainggolan,"Psr. Cokroaminoto No. 70, Kediri 33046, DIY",1957-03-10,4024007187535975
Vega Simanjuntak,"Psr. Padma No. 87, Banjarbaru 63735, Bengkulu",2002-01-03,6011392406470067
Dina Zulaika,"Jr. Soekarno Hatta No. 357, Pontianak 13504, SulSel",1988-05-22,4916605019630
Arsipatra Prasetya S.T.,"Dk. Bayan No. 520, Denpasar 92473, KalSel",1996-11-11,5317189821220439
Alika Oktaviani S.Farm,"Psr. Kebangkitan Nasional No. 351, Kediri 73994, JaTeng",1977-09-15,4916651142515795
Leo Empluk Gunawan S.Pt,"Jr. Adisumarmo No. 984, Tidore Kepulauan 46995, Aceh",1996-01-18,4716911575113
Adinata Sitorus S.I.Kom,"Jr. Halim No. 609, Kupang 52015, Aceh",1987-06-24,4929704445622
Lulut Winarno,"Ds. Gremet No. 908, Surakarta 56670, KalUt",1985-10-26,4556857349254485
Rika Wulandari,"Dk. Achmad No. 275, Manado 88712, SumSel",1998-03-26,4522977903560621
Silvia Novitasari M.Pd,"Ki. Gardujati No. 369, Tanjungbalai 81459, SumSel",1975-03-12,4716545332295
Gandi Prabawa Salahudin S.Farm,"Ki. Banal No. 485, Tomohon 28340, KalUt",1979-01-28,6011029807621175
Viman Sabri Pradana,"Ds. Panjaitan No. 481, Probolinggo 59381, Maluku",1988-01-03,4539193047688
Wardaya Ozy Ramadan M.Ak,"Ds. Pasir Koja No. 961, Tanjung Pinang 36382, Banten",2001-01-31,5545540249529229
Agnes Belinda Agustina,"Psr. Nanas No. 806, Administrasi Jakarta Selatan 15333, Maluku",1998-11-08,4444130707812252
Kani Handayani,"Jln. Soekarno Hatta No. 439, Banjar 66190, SulSel",1990-11-14,5375226395796565
Aisyah Elisa Puspita S.E.,"Ds. Antapani Lama No. 158, Tomohon 36011, Riau",1986-08-11,5124578237184770
Bakda Napitupulu S.Farm,"Ki. Sampangan No. 943, Banjarbaru 63365, Aceh",1976-06-24,4716042681377858
Tri Uda Wahyudin,"Kpg. Bah Jaya No. 582, Mataram 11425, KalTeng",1991-04-05,343299718606449
Silvia Purwanti,"Psr. Gading No. 406, Palangka Raya 81272, SumBar",1973-06-14,5539175347397209
Wage Maryadi,"Kpg. Laksamana No. 900, Kupang 59136, Papua",1961-02-01,5252707339657284
Nurul Ami Suartini S.I.Kom,"Gg. Peta No. 951, Tomohon 31079, KalTeng",1997-06-18,5556879423548928
Bahuwirya Legawa Thamrin,"Jr. Gajah Mada No. 883, Solok 55964, SumUt",1982-08-02,4556986881651
Ihsan Endra Saputra S.Psi,"Kpg. Nanas No. 754, Pontianak 65877, NTT",1994-07-03,5240266831868456
Agnes Kuswandari,"Gg. Umalas No. 261, Kupang 23255, Banten",1995-02-11,4916352758869
Reza Napitupulu,"Psr. Basket No. 20, Dumai 17770, Bali",2002-01-25,4485112594387895
Cakrawangsa Jailani S.T.,"Jln. Gajah No. 232, Sibolga 16808, Papua",1993-09-13,5158524082634088
Natalia Dalima Laksita S.Gz,"Psr. Untung Suropati No. 922, Kupang 14459, KalSel",1961-06-20,5399159412674188
Ratna Susanti,"Ki. Bara No. 307, Makassar 36163, SulTra",1974-07-04,4024007103357
Umar Okta Prasetyo,"Dk. Antapani Lama No. 652, Jambi 38773, JaTim",1985-11-16,5303315859652211
Yani Uyainah,"Jln. Basoka Raya No. 716, Administrasi Jakarta Pusat 41183, NTT",1993-08-01,5179052014653997
Argono Maheswara,"Kpg. Moch. Ramdan No. 240, Padangsidempuan 82606, SulUt",1999-06-19,5123586764384797
Titin Susanti,"Jr. Wahid Hasyim No. 464, Administrasi Jakarta Barat 90025, JaTeng",1990-01-30,376846879792242
Cawisadi Hutapea,"Dk. Basket No. 582, Bukittinggi 79865, SumSel",1971-12-14,4024007161546
Balangga Vinsen Pratama M.Kom.,"Dk. Bayan No. 350, Kotamobagu 38262, MalUt",1966-01-02,4539990556463408
Tri Pangestu,"Dk. Rumah Sakit No. 706, Metro 18977, Riau",1961-10-21,4485528027093356
Salimah Irma Yolanda S.Psi,"Gg. Lada No. 365, Tanjungbalai 89818, JaBar",1965-02-23,6011052701459468
Praba Daryani Wibisono,"Kpg. Siliwangi No. 274, Bontang 95517, Bali",1956-08-19,5484564790278773
Restu Maria Halimah S.H.,"Kpg. Pelajar Pejuang 45 No. 989, Tegal 14699, Bali",1987-06-27,5328020265456485
Vanesa Maryati,"Gg. Salatiga No. 309, Tangerang Selatan 60199, NTT",1983-05-08,5302234137800123
Balijan Upik Waluyo S.IP,"Kpg. Pelajar Pejuang 45 No. 371, Kupang 26483, Papua",1962-04-17,5468898638366899
Artanto Prabowo S.E.,"Ki. Jend. Sudirman No. 148, Padang 10185, NTB",1987-06-10,341856193941708
Dagel Prakasa S.Pt,"Psr. Babah No. 34, Lhokseumawe 37659, JaBar",1993-09-05,4716063920487266
Putri Yuniar,"Gg. Lada No. 832, Magelang 72177, PapBar",1977-08-10,5135721534443062
Irma Sarah Haryanti,"Ds. Radio No. 592, Solok 68900, NTT",1977-01-26,4966978294550976
Tari Yuliarti S.E.I,"Gg. Muwardi No. 704, Batu 51844, KalTeng",1987-05-25,5444129143197085
Zahra Palastri,"Jln. Wahidin No. 769, Tangerang 55997, Aceh",1995-04-30,4485957253767
Umay Firgantoro,"Ki. Juanda No. 14, Surakarta 40484, Maluku",1982-11-01,4024007175449668
Intan Sadina Hartati M.TI.,"Dk. Lembong No. 462, Tanjung Pinang 17157, SulTeng",1993-01-03,5502229481514724
Salimah Agustina S.T.,"Kpg. Banal No. 855, Manado 62128, SulUt",1972-06-12,5111464556026634
Atmaja Adriansyah M.Farm,"Gg. Moch. Toha No. 5, Salatiga 47442, SulTra",1962-10-02,4556663470513
Calista Mulyani M.Ak,"Ds. Haji No. 476, Langsa 67934, NTT",1999-10-20,5477169418783151
Daniswara Endra Natsir S.Psi,"Dk. Bakit  No. 533, Kotamobagu 92599, PapBar",1988-10-10,6011368954532391
Ulva Pudjiastuti,"Gg. Basoka No. 393, Banjarmasin 35686, Banten",1999-01-22,4916204505054
Natalia Oktaviani,"Jr. Bagonwoto  No. 754, Prabumulih 19332, BaBel",1961-12-29,4556020058825702
Rahayu Usamah S.T.,"Gg. Baja No. 945, Pangkal Pinang 54955, SulSel",1963-10-10,4024007185495
Aswani Simon Sihombing M.Pd,"Gg. Supomo No. 399, Langsa 51567, SulBar",1993-10-27,5176645836485473
Labuh Hutapea,"Ki. Banda No. 862, Administrasi Jakarta Barat 79753, Bengkulu",1984-06-26,5134342447276175
Arsipatra Latupono,"Gg. Bawal No. 890, Payakumbuh 35232, KalTeng",1956-01-06,4532546310688677
Gatot Wahyudin,"Dk. Tubagus Ismail No. 596, Sukabumi 97202, Bengkulu",1986-06-12,5214080590505700
Ifa Yolanda S.Gz,"Gg. Jambu No. 852, Banda Aceh 50984, SumSel",1987-01-15,5564037514348852
Zalindra Padmasari,"Ki. Yoga No. 794, Medan 67569, Gorontalo",1988-02-26,6011860740569158
Vicky Kusmawati,"Dk. Arifin No. 660, Bitung 71393, NTB",1971-04-13,5393852807723174
Rahmat Daliono Salahudin,"Jln. Tentara Pelajar No. 726, Lhokseumawe 89883, Lampung",1977-10-16,5277610566166832
Oman Hidayanto,"Ds. Cemara No. 505, Binjai 42801, Gorontalo",1996-11-25,4532442820278
Usyi Cinta Mandasari,"Jr. Bakti No. 890, Ternate 21517, JaBar",1984-01-10,4539860033192971
Citra Lailasari,"Jr. Dago No. 822, Padangpanjang 61295, SulTeng",1991-05-13,5472126763272862
Faizah Hilda Hassanah,"Dk. Yoga No. 609, Administrasi Jakarta Barat 80215, Aceh",2000-02-26,348606433181752
Yuliana Mardhiyah,"Kpg. R.M. Said No. 913, Banjarmasin 68015, SulSel",1991-01-07,5575494800102153
Chandra Nababan S.Ked,"Kpg. Ketandan No. 669, Bontang 62979, SulTeng",1962-11-15,4539530539861821
Ella Laksita S.T.,"Jr. Raden No. 561, Bima 55210, Lampung",1974-03-08,4617990794056
Maya Uyainah,"Jr. Uluwatu No. 380, Medan 47872, Lampung",1955-04-08,4539719351733883
Ratna Sudiati,"Jr. Taman No. 280, Samarinda 89554, SulBar",1981-10-15,4532403539552
Mariadi Hardi Mahendra,"Dk. Mulyadi No. 831, Pontianak 86718, NTT",1988-10-19,5466478819606546
Vivi Lailasari,"Jln. Suprapto No. 308, Pangkal Pinang 46407, Gorontalo",1989-04-10,5178555251892350
Yuni Diah Nasyiah S.E.I,"Jln. Abdul Muis No. 720, Mojokerto 12905, KalTim",1972-09-07,344231538509478
Bella Handayani,"Jln. Soekarno Hatta No. 914, Kupang 14751, JaTim",1973-11-30,4485297333782017
Nadine Nadine Padmasari M.Pd,"Jr. Halim No. 931, Serang 29196, NTB",1995-09-15,5456770744469814
Hilda Aryani,"Ds. Ekonomi No. 114, Batam 28332, Gorontalo",1984-04-26,6011830560838843
Salimah Utami,"Dk. Peta No. 452, Administrasi Jakarta Selatan 37870, KalSel",1982-11-04,5159980242588821
Budi Rajata M.TI.,"Kpg. Suniaraja No. 96, Administrasi Jakarta Barat 14578, Riau",1975-09-07,5353480554492229
Ibrahim Darsirah Irawan,"Jr. Yap Tjwan Bing No. 835, Bontang 24855, JaBar",1965-07-30,4532052132774
Nova Novi Handayani S.E.,"Dk. Urip Sumoharjo No. 444, Administrasi Jakarta Selatan 73234, Aceh",1975-07-12,378734476337389
Gantar Marbun S.Farm,"Ds. Jambu No. 415, Bandung 81852, Gorontalo",1998-03-14,4929263310194190
Puti Queen Mayasari,"Gg. Bakhita No. 152, Administrasi Jakarta Timur 53133, JaBar",1955-12-23,5478740114247144
Nrima Sihombing S.Sos,"Dk. Bara No. 854, Magelang 32569, NTB",1976-09-17,4532513914611992
Murti Thamrin,"Jln. Juanda No. 759, Padangsidempuan 60098, Riau",1999-09-21,4485322658096
Kenzie Mandala,"Dk. W.R. Supratman No. 845, Kendari 51935, Gorontalo",1997-08-23,377208053962829
Cakrabuana Perkasa Wahyudin,"Ki. Bhayangkara No. 43, Kotamobagu 83847, KalTim",1978-06-23,4929886110614
Belinda Widiastuti S.Gz,"Kpg. Veteran No. 987, Bukittinggi 54915, MalUt",1968-07-21,6011301088104308
Hartaka Simbolon,"Jr. Tangkuban Perahu No. 907, Sabang 61088, KalTeng",1989-02-14,5203457185278377
Nugraha Simbolon,"Jln. BKR No. 111, Banjarmasin 81804, MalUt",1960-09-05,4929622572122654
Vanya Humaira Pratiwi S.Ked,"Ki. Diponegoro No. 257, Tarakan 29259, BaBel",1969-05-17,5226977848920498
Cindy Nasyiah M.M.,"Ki. Suharso No. 776, Binjai 96249, DKI",1972-11-12,379637601457106
Nasrullah Sinaga M.Kom.,"Jr. HOS. Cjokroaminoto (Pasirkaliki) No. 711, Jayapura 63440, Aceh",1986-02-11,4929865682096
Wisnu Budiyanto S.Farm,"Gg. Basket No. 404, Bitung 12657, Papua",2002-02-24,4532067592299190
Wani Queen Safitri M.TI.,"Jln. Imam Bonjol No. 23, Kupang 24131, KepR",1985-07-27,5418716918302452
Dinda Pratiwi S.Farm,"Psr. Abdullah No. 793, Probolinggo 45479, Jambi",1959-02-03,5221882016238910
Baktianto Najam Pradana,"Kpg. Gotong Royong No. 275, Subulussalam 49558, Maluku",2001-04-07,5293578878485358
Adiarja Gandi Situmorang,"Kpg. R.M. Said No. 219, Metro 24725, KalUt",1990-08-31,5251313438703847
Narji Kusumo,"Kpg. B.Agam 1 No. 204, Surabaya 89464, Banten",1978-04-07,5459510689941477
Elon Saefullah,"Jln. Ki Hajar Dewantara No. 340, Palu 19761, SumUt",1997-02-05,6011752889308532
Ade Puspa Pratiwi,"Kpg. Cihampelas No. 332, Palembang 54170, KepR",1992-12-10,5538703862481495
Jail Tugiman Halim S.E.I,"Ki. Surapati No. 260, Tual 88354, KalTim",1995-02-27,5333082126457030
Ikhsan Dimas Halim,"Gg. Sudiarto No. 612, Makassar 29818, SumUt",1987-01-17,4024007100478
Kala Bakiman Saefullah,"Gg. Gegerkalong Hilir No. 377, Surakarta 60911, JaBar",1959-08-28,5368760246266013
Galih Ajimat Hardiansyah S.Ked,"Kpg. Achmad Yani No. 907, Jayapura 95728, KepR",1997-11-29,4024007122725285
Lantar Cahyanto Firgantoro S.Pd,"Gg. Padang No. 95, Bima 29731, Riau",1958-01-15,346584855942658
Capa Uwais,"Kpg. Batako No. 470, Bogor 45418, SumBar",1987-03-21,4556872197253
Titi Aisyah Halimah,"Dk. Hang No. 595, Payakumbuh 40535, DIY",1976-06-03,5519206396154995
Kunthara Ganda Uwais S.T.,"Jr. Bagis Utama No. 900, Malang 59064, NTT",1983-08-16,5389455824465070
Safina Pudjiastuti,"Dk. Baung No. 976, Tidore Kepulauan 47579, PapBar",1973-11-09,5142553740563867
Hani Mardhiyah,"Jln. Wahid Hasyim No. 489, Magelang 67522, Papua",1955-09-20,4926063729437005
Genta Titin Uyainah,"Dk. Baranang No. 861, Pangkal Pinang 12210, SumUt",1974-10-06,6011094221940411
Candra Siregar,"Jr. Kyai Mojo No. 123, Sibolga 93567, Bengkulu",2001-07-21,4600421627646817
Himawan Wibisono S.H.,"Gg. B.Agam Dlm No. 992, Sibolga 28982, DIY",1997-04-23,348628259758182
Kezia Febi Agustina S.I.Kom,"Kpg. Siliwangi No. 101, Bukittinggi 87313, KalTim",1960-09-05,4024007122708174
Argono Prakasa,"Ds. Sutoyo No. 153, Tidore Kepulauan 92140, Bengkulu",1982-05-19,4628993923279
Fathonah Wahyuni,"Jr. Bakti No. 515, Pekanbaru 21842, NTB",1970-11-11,5445903750143502
Hilda Tania Nuraini M.TI.,"Gg. Bah Jaya No. 946, Sabang 96218, JaTim",1975-12-08,5434594103782162
Oliva Mandasari S.Ked,"Kpg. Cokroaminoto No. 905, Subulussalam 86902, JaTim",1956-12-09,4716143675327
Mulyanto Mansur,"Ds. Ahmad Dahlan No. 715, Lhokseumawe 82561, Aceh",1992-01-26,5154051974992006
Salman Aswani Zulkarnain,"Gg. Bahagia  No. 508, Surakarta 92883, Maluku",1989-12-13,4916460530333
Kanda Gilang Simbolon,"Kpg. Surapati No. 576, Sabang 61610, Maluku",1962-03-09,4929793869245
Syahrini Yuniar,"Kpg. Pasteur No. 215, Solok 47250, NTB",1987-12-29,5442305738690427
Yani Elvina Padmasari,"Gg. Kebonjati No. 899, Ternate 28154, NTT",1993-06-18,5261859551136387
Putri Lailasari,"Dk. Cokroaminoto No. 512, Administrasi Jakarta Utara 36142, PapBar",1961-07-28,5373610125041412
Nyoman Wibowo,"Ds. Laksamana No. 826, Binjai 65728, KalSel",1957-03-12,4485904156782
Yulia Kartika Pertiwi,"Dk. Suniaraja No. 759, Banjarbaru 79803, Papua",2001-01-29,4916771421941
Darimin Olga Pranowo,"Dk. Baja No. 165, Kotamobagu 24686, KalUt",2001-05-19,5161963666253581
Maya Usada,"Kpg. Yogyakarta No. 528, Metro 10086, KepR",1988-09-25,6011862084215794
Pardi Wacana,"Psr. Bahagia No. 688, Banjar 67008, PapBar",1975-10-08,6011203097573061
Maras Wacana M.M.,"Psr. Cihampelas No. 802, Surakarta 69933, JaTeng",1996-05-05,5135853397459891
Vinsen Jarwa Setiawan M.Kom.,"Jln. Sutami No. 433, Kupang 81906, Jambi",1981-02-16,5256447334629139
Vino Putra,"Ds. Ronggowarsito No. 811, Tebing Tinggi 64242, Jambi",1961-10-21,4916751103550
Danu Irfan Saputra,"Gg. Katamso No. 881, Payakumbuh 43050, Maluku",1991-03-27,6011709916501687
Zelaya Suryatmi,"Gg. Katamso No. 264, Palembang 88211, DIY",1997-08-30,4532980807893
Kartika Prastuti,"Psr. Baranang Siang Indah No. 771, Banda Aceh 85897, KalTeng",1997-09-12,4916984310162
Melinda Hasanah,"Jr. Barasak No. 194, Mojokerto 91547, MalUt",1997-09-13,4929546113404
Calista Lili Lailasari S.E.I,"Jln. Bak Mandi No. 763, Ambon 62126, KalTeng",1970-01-14,4024007198421793
Najam Kusumo S.T.,"Psr. Moch. Toha No. 976, Magelang 47222, PapBar",1998-04-11,5249707076045558
Dacin Prasetyo,"Gg. Baha No. 660, Subulussalam 57452, KalTim",1995-07-31,5105382126779482
Ana Gabriella Handayani S.Pt,"Jr. Abdullah No. 364, Parepare 38259, SulUt",1984-05-24,4916622892411048
Harsana Saadat Saefullah S.Psi,"Kpg. Thamrin No. 229, Bitung 71623, SulTra",1983-11-11,4024007104835
Vero Saputra,"Psr. Industri No. 422, Solok 93963, DIY",1977-12-04,5332036547495798
Capa Ramadan S.Ked,"Ds. Baranang Siang Indah No. 87, Pagar Alam 35499, Bali",1996-07-25,4929627181189
Siti Kamila Hariyah,"Kpg. Imam No. 94, Lubuklinggau 23120, NTB",1975-10-09,5467493702721152
Najwa Farah Mulyani,"Kpg. Villa No. 248, Probolinggo 66121, SulSel",1976-10-05,4716615910045303
Paris Fujiati,"Jr. Bara Tambar No. 696, Palopo 14599, SulBar",1974-07-28,6011049178829231
Panca Narpati M.Pd,"Ds. Cikutra Timur No. 828, Bogor 90367, NTB",1962-11-29,377442395465940
Heru Santoso,"Gg. Pattimura No. 851, Tual 90380, NTB",1957-03-04,4539726621668534
Nurul Mayasari,"Ds. Banceng Pondok No. 663, Balikpapan 50668, SumUt",1987-08-03,5235129800026224
Umaya Pradana,"Psr. Sukabumi No. 844, Langsa 69660, Banten",1964-08-17,5339681074026566
Jaiman Kariman Saputra S.IP,"Ki. Astana Anyar No. 305, Tidore Kepulauan 18908, KalTim",1986-11-19,5502314505151297
Kurnia Taswir Ardianto,"Jr. Tubagus Ismail No. 715, Lhokseumawe 14074, SulTra",1975-09-11,4539468506087
Kasiran Sihombing,"Kpg. Bakau Griya Utama No. 78, Depok 66140, Jambi",1957-08-08,4485212378295429
Gadang Saefullah M.Farm,"Ds. Dipatiukur No. 850, Gunungsitoli 41504, NTB",1993-05-25,4468747985286
Ajiono Hutagalung S.Pd,"Gg. Basoka Raya No. 228, Palangka Raya 48930, BaBel",1993-08-07,5120659792087915
Artawan Jumadi Nugroho,"Gg. Rajawali Timur No. 670, Yogyakarta 50356, SumBar",1965-10-15,5538367122141305
Ridwan Bahuraksa Pradipta,"Kpg. Moch. Yamin No. 412, Medan 63014, Aceh",1970-09-10,5288749482812785
Tugiman Saputra,"Jr. Gajah Mada No. 31, Tasikmalaya 94228, KalTeng",1980-05-08,5131734194076837
Uli Kuswandari,"Psr. Sumpah Pemuda No. 779, Administrasi Jakarta Barat 56553, SulTra",1958-07-26,5435093549051778
Erik Hutasoit,"Ki. Rumah Sakit No. 810, Balikpapan 47149, Jambi",1955-08-30,4716760483092041
Ella Farida,"Jln. Dipatiukur No. 492, Bukittinggi 22167, SulUt",1965-07-21,4532935171909365
Ade Padmi Agustina S.H.,"Psr. Barasak No. 761, Jayapura 22955, Jambi",1956-01-11,5264103719240865
Gamblang Nugroho,"Jr. Krakatau No. 117, Binjai 13762, Lampung",1969-01-03,5226983737336911
Ami Padmasari,"Jln. Raden No. 403, Tidore Kepulauan 97141, Jambi",1962-06-14,5393662822589611
Putri Laksita,"Psr. B.Agam 1 No. 264, Pekalongan 76511, JaTim",1981-06-12,5299700087436477
Kairav Januar M.Pd,"Gg. Jakarta No. 955, Tebing Tinggi 49484, SulUt",1969-08-17,4716805960736006
Laksana Dadi Manullang,"Jln. Bagas Pati No. 337, Kediri 82446, SulUt",1984-11-14,4539761392682281
Abyasa Waskita S.IP,"Ds. Basuki No. 458, Denpasar 45710, NTB",1971-09-24,5419718694832073
Emong Simbolon,"Ki. Kalimalang No. 551, Mataram 43587, SulTeng",1996-12-22,5352236365960973
Abyasa Kunthara Dabukke,"Jr. Villa No. 563, Tomohon 47840, JaTeng",1984-09-06,4556659259992165
Talia Handayani,"Kpg. Sutoyo No. 243, Pontianak 72489, Bengkulu",1991-12-21,5128072417017386
Dinda Maryati,"Jr. Cikapayang No. 568, Pematangsiantar 13834, Riau",1998-05-11,346982050064650
Sakura Fujiati S.Pt,"Dk. Bata Putih No. 527, Mojokerto 54365, JaTim",1955-02-26,5305798301585956
Rachel Wastuti,"Ds. Flora No. 396, Tebing Tinggi 10346, SulTeng",1997-02-08,4929905556292
Caket Wibisono,"Jln. Bappenas No. 444, Administrasi Jakarta Barat 62631, KalBar",1971-09-01,5556918890193394
Tasnim Budiyanto,"Jln. Suryo Pranoto No. 758, Manado 81636, Banten",1959-10-22,4024007117668995
Enteng Firgantoro S.IP,"Psr. Reksoninten No. 312, Makassar 79139, SulUt",1990-03-05,5117516082967237
Cahyo Firmansyah,"Jln. Salatiga No. 920, Sukabumi 49649, Lampung",1959-10-05,4024007191200640
Tami Lestari,"Ds. Sugiono No. 664, Ternate 16957, PapBar",1977-07-22,6011696895695871
Maria Permata,"Ki. Thamrin No. 735, Cirebon 16486, JaTim",1989-12-19,377308414378226
Hani Bella Yuniar,"Ki. PHH. Mustofa No. 812, Pekanbaru 10022, JaBar",1988-08-22,5176445433657719
Icha Pudjiastuti,"Psr. Babah No. 622, Pontianak 77301, KalSel",1986-02-03,4916915798642
Dian Maya Nasyiah M.Kom.,"Jr. Bakaru No. 324, Pagar Alam 33653, NTB",1980-11-27,346185622826818
Mursita Gunarto,"Ds. Fajar No. 180, Kotamobagu 56390, Bali",1969-01-01,4556225737103237
Kemal Mulyono Pratama,"Ki. Yos Sudarso No. 985, Kupang 77906, Aceh",1982-02-02,5312131794302989
Bella Wahyuni S.Pt,"Psr. Achmad Yani No. 694, Mataram 99563, SumBar",1992-02-23,4929423388083739
Lembah Saragih S.Ked,"Ds. Rumah Sakit No. 519, Pontianak 96106, SulTeng",1957-06-10,349447840348141
Devi Anggraini,"Ki. Wahid No. 363, Parepare 62095, DKI",1999-06-17,4989155137160320
Ani Kani Nasyidah M.Farm,"Dk. Baung No. 613, Pangkal Pinang 61154, SumUt",1981-10-16,4916775109989
Jaswadi Narpati,"Jr. Sutan Syahrir No. 450, Salatiga 37745, SulSel",1987-03-13,5139962428483725
Puti Laksmiwati,"Dk. Bambu No. 65, Kendari 92577, SumSel",1977-09-01,5561942610453246
Eja Sidiq Mandala M.Kom.,"Jln. Hasanuddin No. 312, Ternate 21702, Jambi",2000-02-04,4024007105998
Ratna Wastuti M.Pd,"Ki. Achmad No. 857, Bitung 12933, KalSel",2001-11-10,5279031907978397
Umar Lasmanto Adriansyah,"Gg. Adisumarmo No. 47, Samarinda 81678, SumBar",1976-12-09,5326843356763168
Margana Heryanto Kusumo M.Pd,"Jln. Abdul No. 139, Prabumulih 49586, Riau",1995-01-23,5322673585268695
Dian Agustina,"Jr. Supono No. 166, Tual 88244, SulTeng",1994-07-14,375637742511138
Qori Lestari S.Sos,"Ds. Kyai Mojo No. 207, Kotamobagu 18862, JaBar",1956-11-18,4024007108448
Reksa Sihotang,"Jr. Suryo Pranoto No. 662, Mataram 51060, Bengkulu",1977-10-07,4485823120828927
Limar Maulana,"Ds. Tangkuban Perahu No. 336, Kendari 65595, Gorontalo",1962-12-11,5205880020428766
Gaduh Hakim,"Dk. Halim No. 523, Kendari 44131, DIY",2001-09-07,5111937172676205
Prayogo Najmudin,"Jln. Ahmad Dahlan No. 90, Bengkulu 44479, Riau",1978-07-30,5528196733336570
Emas Elon Hidayat,"Jr. Antapani Lama No. 355, Bekasi 23213, Riau",1978-08-18,4929203102955
Shania Maya Nasyiah,"Jr. Karel S. Tubun No. 656, Jambi 87872, KalTim",1985-12-08,4916805176053244
Carla Usada,"Gg. K.H. Wahid Hasyim (Kopo) No. 816, Metro 75056, DKI",1970-07-26,5195921082613564
Winda Mardhiyah,"Jr. Industri No. 548, Bekasi 42966, SulUt",1980-03-17,5519346598975746
Ami Latika Yuliarti S.E.I,"Ki. Asia Afrika No. 200, Denpasar 67064, PapBar",1964-11-03,5137282171937211
Caraka Pratama,"Kpg. Haji No. 174, Palopo 65007, PapBar",1985-03-24,4485013729953702
Rika Laksita S.Pt,"Gg. Flores No. 793, Bogor 33074, SulTra",1958-06-05,4929880163172666
Latif Sihombing M.TI.,"Psr. Teuku Umar No. 948, Palangka Raya 96202, SumSel",1966-05-11,6011421549677534
Ida Laras Maryati,"Kpg. Fajar No. 848, Padangsidempuan 17475, BaBel",1991-08-14,5503730240116668
Tugiman Dasa Tamba S.Psi,"Psr. Agus Salim No. 526, Bogor 59558, SumUt",1979-01-06,4532242785902427
Darmaji Pradipta,"Kpg. Kali No. 198, Pangkal Pinang 55151, SulBar",1996-01-24,5114494360987389
Alika Zulaika,"Ds. Sunaryo No. 674, Samarinda 52564, JaTim",1956-11-05,4916858108189
Jaga Waluyo,"Ki. R.E. Martadinata No. 221, Makassar 70569, KalBar",1985-10-15,5539523283463107
Amelia Oliva Yulianti S.Kom,"Kpg. Nanas No. 629, Batam 12143, Gorontalo",1997-06-17,4024007157025601
Kasusra Rajasa,"Ki. Wahid Hasyim No. 919, Administrasi Jakarta Utara 17097, KalSel",1968-04-05,6011741759125696
Cakrawangsa Taufan Sitompul,"Kpg. Achmad Yani No. 273, Pontianak 51654, BaBel",1984-10-03,4532468563513280
Mutia Puspita,"Psr. Cokroaminoto No. 130, Lubuklinggau 65601, Aceh",1972-01-29,4556644244958240
Kamaria Puput Laksmiwati,"Kpg. Babadak No. 767, Solok 41006, Banten",1978-10-25,371367789781097
Qori Pudjiastuti,"Jln. Juanda No. 475, Bengkulu 76816, SumSel",1998-06-09,4532949318636
Artawan Nasab Widodo S.Pt,"Psr. Hang No. 966, Manado 77514, Maluku",1964-04-12,5302678214342013
Yono Muni Wasita,"Gg. Gedebage Selatan No. 762, Tual 95285, Bali",1959-11-25,5427858216151873
Yani Amelia Mandasari S.Pt,"Kpg. Untung Suropati No. 722, Pariaman 69463, Lampung",1992-07-14,4929364494736432
